userid,epoch,is_poison,accuracy,correct_data,total_data,bengin_mean_acc,mal_mean_acc
global,0,True,0.0,0.0,0,0.0,0.0
global,1,True,0.24936374070562403,0.25036700920859467,0,0.2559748192099467,0.20597115287773954
global,2,True,0.3211238085732821,0.32260109435473105,0,0.3231594745871323,0.29586089702007196
global,3,True,0.1429213034582564,0.14083144267983452,0,0.15145651523007977,0.08362620084049309
global,4,True,0.059134687359648684,0.058704791138395836,0,0.06476322248674486,0.019097696891936033
global,5,True,0.06018264384450322,0.06080675296943814,0,0.0663300955058129,0.01461701750434175
global,6,True,0.04780677678526873,0.047077272120645934,0,0.05287909330343049,0.013061511647263277
global,7,True,0.07670043415340087,0.07790604564259976,0,0.08431922253642556,0.020530530369206972
global,8,True,0.06761814461799491,0.06846389963966369,0,0.07430639484073716,0.015185124043192971
global,9,True,0.07974449822845452,0.08074202589083145,0,0.0881597184805787,0.020530530369206972
global,10,True,0.07929537402065971,0.08029160549846523,0,0.08788401009712232,0.02022657900142582
global,11,True,0.05299665651978642,0.05344988656079007,0,0.05724931683164904,0.012757560279482123
global,12,True,0.0726084135934927,0.07218403843587348,0,0.08014445294406405,0.015727247860096532
global,13,True,0.05384500224562104,0.05476778326438009,0,0.05869595678688982,0.012757560279482123
global,14,True,0.07799790408703029,0.07880688642733218,0,0.08619834609042225,0.019430951563800238
global,15,True,0.08218973002644843,0.08376151074336047,0,0.090866682742186,0.020530530369206972
global,16,True,0.07490393732222167,0.07513679434138529,0,0.08255167792579489,0.01587922354398711
global,17,True,0.08029342781575927,0.08107567062591753,0,0.08867883366184447,0.020095747760511325
global,18,True,0.07794800139727531,0.07865674629654344,0,0.08629645982050213,0.015727247860096532
global,19,True,0.056439942112879886,0.057420258908314425,0,0.061088354862840845,0.0132785396534096
global,20,True,0.08024352512600429,0.08112571733618043,0,0.08924823967744366,0.019943772076620746
global,21,True,0.09381705673935825,0.09543907647137329,0,0.10368901340994706,0.025107096983618026
global,22,True,0.08543340486052198,0.08663085546510076,0,0.0946190400438921,0.020682506053097554
global,23,True,0.08548330755027696,0.0863806219137862,0,0.09413051498983666,0.020682506053097554
global,24,True,0.08423574030640252,0.08539636994528227,0,0.09306521735076433,0.0202477234444019
global,25,True,0.07869654174359998,0.07917389563592686,0,0.08718464446862634,0.01587922354398711
global,26,True,0.08443535106542242,0.08589683704791139,0,0.09313638027886273,0.0202477234444019
global,27,True,0.08308797844203802,0.08422861337248098,0,0.09157248744256455,0.0202477234444019
global,28,True,0.08777883127900594,0.08891632190044041,0,0.09690978028193549,0.020682506053097554
global,29,True,0.08433554568591248,0.08547978112905379,0,0.09294747785518424,0.0202477234444019
global,30,True,0.08752931783023105,0.08868277058588016,0,0.09635345144440702,0.020682506053097554
global,31,True,0.7649583312540545,0.7635793407180035,0,0.7645562418105688,0.7681515339991863
global,32,True,0.8237436997854184,0.8238022154010409,0,0.8227045941457035,0.8278146697174389
global,33,True,0.8526872598433055,0.8535132790604564,0,0.8514819097093798,0.8587019347809983
global,34,True,0.9635710364788662,0.9613806219137861,0,0.9627152019931617,0.9721026979916714
global,35,True,0.9807375617545786,0.9793473908981716,0,0.9804382823803822,0.9899093410783404
global,36,True,0.9138180547931534,0.9135526491391965,0,0.9122640120329281,0.929073716690292
global,37,True,0.9699086780777484,0.9681202455625251,0,0.9690301819511603,0.9802729074672916
global,38,True,0.9607764858525875,0.9593954357400241,0,0.9595272784646542,0.9715676492742906
global,39,True,0.9533409850790958,0.9515381022287468,0,0.952098777248896,0.9673490722814397
global,40,True,0.9362243624931383,0.9351561457360202,0,0.9353019363974091,0.963762088580237
global,41,True,0.977693497679525,0.9765948218337115,0,0.9779069826913787,0.9853106079081371
global,42,True,0.9702579969060332,0.9683704791138396,0,0.9702340627207267,0.9822640127457983
global,43,True,0.9551374819102749,0.9532897370879487,0,0.9533960286751548,0.9646791684644841
global,44,True,0.9789410649233994,0.9776791672227412,0,0.9785832093669204,0.9856486163213857
global,45,True,0.8781376316183442,0.8797210730014681,0,0.8753269701193909,0.9005943002403043
global,46,True,0.9768451519536903,0.975860803416522,0,0.9762111265148398,0.9856486163213857
global,47,True,0.9746993362942262,0.972891365274256,0,0.9742272064278048,0.9831486163213856
global,48,True,0.9785917460951146,0.9771286534098492,0,0.9781017592484885,0.9892003443411987
global,49,True,0.9755476820200609,0.9741258507940744,0,0.9740882830277889,0.9811605389638632
global,50,True,0.995408952542542,0.9948952355531829,0,0.995245697489938,0.9983606557377049
global,51,True,0.995408952542542,0.9953790204190578,0,0.9954161380222247,0.9983606557377049
global,52,True,0.9942611906781775,0.9939276658214333,0,0.9941215322943956,0.9983606557377049
global,53,True,0.9875742302510105,0.9861871079674362,0,0.9867980030701179,0.9932273077853729
global,54,True,0.9825340585857578,0.9831342586413986,0,0.9822665223531016,0.9894100173569559
global,55,True,0.9933629422625879,0.9926264513545976,0,0.9931248109022769,0.9973666520476681
global,56,True,0.9969559359249464,0.9970639263312425,0,0.9968511654289682,0.9983606557377049
global,57,True,0.9883227705973352,0.9878386494061123,0,0.988527609439998,0.9961444678641692
global,58,True,0.9941613852986676,0.9937942079273989,0,0.9940791987623547,0.9983606557377049
global,59,True,0.9922650830879785,0.9914086480715334,0,0.991847527876781,0.9967798937550818
global,60,True,0.9712560507011327,0.9693380488455892,0,0.970094885946441,0.9797353420384936
global,61,True,0.9792404810619293,0.9786634191912451,0,0.9792865299961924,0.9889228126325463
global,62,True,0.9768451519536903,0.9754103830241558,0,0.9764486311634848,0.9878630300238507
global,63,True,0.9671141274514696,0.9668190310956893,0,0.966076397854562,0.9832170254126933
global,64,True,0.9785917460951146,0.9780628586680902,0,0.9783440440608135,0.9887347952693322
global,65,True,0.9633215230300913,0.9625150140130789,0,0.9631968726626456,0.9784006648581471
global,66,True,0.9498477967962473,0.9494194581609502,0,0.9480726455129038,0.9663094578377052
global,67,True,0.9705574130445631,0.9705725343654077,0,0.9702866623702503,0.9850935658460959
global,68,True,0.9763960277458955,0.9756105698652076,0,0.9757532543138211,0.9878630300238507
